                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0265,                 2.2644,                 1.9915,                0.90749,                0.77778,                0.88239,                0.42972,                 1.7856,                  2.007,                 1.7521,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.9131,                 2.1145,                 1.8097,                      1,                0.85898,                0.90207,                0.51687,                 1.6019,                 1.9389,                 1.5067,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                  2.093,                  2.177,                 1.9231,                0.83351,                0.66667,                0.82638,                0.56054,                 1.3545,                 1.8704,                  1.307,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 1.6211,                 1.9308,                 1.5628,                0.77504,                0.76684,                0.78408,                0.55944,                 1.2642,                 1.8923,                  1.385,             0.00013584,             0.00013584,             0.00013584
                      5,                 1.6321,                 1.9025,                 1.5571,                0.70788,                0.77778,                0.71065,                0.51346,                  1.166,                 1.9495,                 1.3276,             0.00017287,             0.00017287,             0.00017287
                      6,                 1.8285,                  1.876,                 1.5561,                0.69502,                0.77778,                 0.6803,                0.50946,                 1.1745,                 2.1254,                 1.2961,             0.00020911,             0.00020911,             0.00020911
                      7,                 1.3807,                 1.6354,                  1.355,                0.87396,                0.77132,                0.76993,                0.55483,                 1.1076,                 2.0015,                 1.2484,             0.00024456,             0.00024456,             0.00024456
                      8,                 1.3207,                  1.578,                 1.2132,                0.75609,                0.77778,                0.77321,                0.57888,                 1.0928,                 1.9845,                 1.2759,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.2876,                 1.5488,                 1.2924,                0.72467,                 0.8783,                0.86417,                0.60928,                 1.1231,                  2.061,                 1.3324,             0.00031307,             0.00031307,             0.00031307
                     10,                 1.5594,                 1.9454,                 1.4092,                      1,                 0.6904,                0.89548,                0.66831,                 1.0836,                 2.0165,                 1.2982,             0.00034614,             0.00034614,             0.00034614
                     11,                 1.3309,                 1.4588,                 1.3188,                0.87393,                0.77114,                0.87707,                0.67802,                 1.0264,                 1.9662,                 1.2646,             0.00037842,             0.00037842,             0.00037842
                     12,                 1.3423,                 1.6755,                  1.353,                0.97443,                0.77778,                0.90657,                 0.7073,                 1.0263,                 2.1582,                 1.2231,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.2774,                 1.4546,                  1.303,                0.95799,                0.77778,                0.88574,                0.66444,                0.97355,                 2.1587,                 1.1744,              0.0004406,              0.0004406,              0.0004406
                     14,                 1.4348,                 1.6967,                 1.3114,                0.99794,                0.77778,                  0.865,                0.66501,                 1.0289,                 2.2251,                 1.2185,              0.0004705,              0.0004705,              0.0004705
                     15,                 1.2259,                 1.3395,                 1.2026,                      1,                 0.7623,                0.83509,                0.65885,                 1.0168,                  2.182,                 1.1874,             0.00049961,             0.00049961,             0.00049961
                     16,                 1.3063,                 1.4325,                 1.3184,                0.97857,                0.66667,                0.75827,                0.63069,                 1.0905,                  2.207,                 1.2009,             0.00052793,             0.00052793,             0.00052793
                     17,                 1.1601,                 1.4777,                 1.2558,                 0.9814,                0.66667,                0.73555,                0.56587,                 1.1873,                 2.2493,                 1.2132,             0.00055546,             0.00055546,             0.00055546
                     18,                 1.3005,                 1.4713,                 1.3024,                0.98423,                0.66667,                0.73498,                0.54396,                 1.0853,                 2.1851,                  1.187,             0.00058219,             0.00058219,             0.00058219
                     19,                 1.2158,                 1.4241,                 1.2835,                0.98126,                0.66667,                0.72488,                0.53557,                 1.1676,                  2.296,                 1.3293,             0.00060813,             0.00060813,             0.00060813
                     20,                 1.2446,                 1.4485,                  1.296,                0.97817,                0.66667,                0.73311,                0.51071,                 1.2334,                  2.467,                 1.3872,             0.00063328,             0.00063328,             0.00063328
                     21,                 1.2468,                 1.3179,                 1.2004,                      1,                0.64682,                0.70581,                0.44701,                 1.4045,                 2.6132,                  1.484,             0.00065764,             0.00065764,             0.00065764
                     22,                 1.1541,                 1.4993,                 1.1619,                      1,                0.66382,                0.73327,                 0.4481,                  1.368,                  2.229,                 1.4371,             0.00068121,             0.00068121,             0.00068121
                     23,                0.99544,                 1.2849,                  1.072,                0.98842,                0.66667,                0.73778,                0.52765,                 1.1686,                 1.9169,                 1.2879,             0.00070398,             0.00070398,             0.00070398
                     24,                 1.0408,                 1.1882,                 1.1272,                0.98167,                0.66667,                 0.7774,                0.54876,                   1.24,                 1.8943,                 1.2767,             0.00072596,             0.00072596,             0.00072596
                     25,                 1.1696,                 1.3023,                 1.1162,                0.97447,                0.66667,                0.84143,                0.57749,                 1.2828,                 1.9387,                 1.3915,             0.00074715,             0.00074715,             0.00074715
                     26,                 1.1775,                 1.5297,                 1.2068,                0.85506,                0.77778,                0.82428,                0.54325,                  1.278,                 1.9487,                 1.3617,             0.00076755,             0.00076755,             0.00076755
                     27,                 1.1805,                 1.3053,                 1.1635,                 0.8625,                0.77778,                0.84287,                0.54815,                 1.2458,                 2.0176,                 1.3033,             0.00078716,             0.00078716,             0.00078716
                     28,                 1.3048,                 1.5552,                 1.2651,                 0.8625,                0.77778,                0.84287,                0.54815,                 1.2458,                 2.0176,                 1.3033,             0.00080597,             0.00080597,             0.00080597
